Autor, Year, Title, Ed,Sub
Solomon. Charles,2003, Where the 'Futurama' is now. Creating the series. newly released on DVD. was a challenge-filled process. Matt Groening and colleagues recall, Los Angeles Times,Newspaper / Magazine
Thomas. Kevin,2003, Finally. a breakout film for Piglet. The Hundred Acre Wood gang teaches life lessons with affection and humor, Los Angeles Times,Newspaper / Magazine
O'Connor. Anne-Marie,2005, Unveiled. unvarnished. In Marjane Satrapi's graphic novels. stereotypes unravel as Iranian women stand their ground, Los Angeles Times,Newspaper / Magazine
Rasmussen. Cecilia,2005,Cartoon Feline Is Catalyst for Car Dealer's Success; Since the 1920s.Felix the Cat has helped a Chevy franchise stake out its territory inthe local automotive market, Los Angeles Times,Newspaper / Magazine
Chun. Alex,2006, The Many Facets of Comic-Con. Four views show how dynamic a two-dimensional world can be, Los Angeles Times,Newspaper / Magazine
Rayner. Richard,2006, Opposites attract. Tove Jansson and Yoshihiro Tatsumi. two masters. one from the far north. one from the east, Los Angeles Times,Newspaper / Magazine
Turan. Kenneth,2007, 'Ratatouille'. The film is audacious and its unlikely hero is hard to resist, Los Angeles Times,Newspaper / Magazine
O'Neil. Tom,2008, Can 'The Dark Knight' really be nominated for best picture at the Oscars?, Los Angeles Times,Newspaper / Magazine
McGarry. T,1988, The voice. Mel Blanc is 80. and he's also Bugs. Tweeti (sic). Porky. Elmer, Los Angeles Times,Newspaper / Magazine
Ciotti. Paul,1988, How to succeed in the movies without really trying; Cartoonist Ron Cobbs strange trip from the 60s to E, Los Angeles Times,Newspaper / Magazine
Miller. Martin,1999, Good Grief! Charles Schulz Calls It Quits 'Peanuts'. Ailing cartoonist to retire after 50 years of drawing Charlie Brown. icon of the little guy, Los Angeles Times,Newspaper / Magazine
Boucher. Geoff,2001, Spider-man on Top. After Decades of Abuse. Comic Books Are Serious Source Material for Hollywood, Los Angeles Times,Newspaper / Magazine
Calvo. Dana,2001, Cartoon World Is Playing It Safe, Los Angeles Times,Newspaper / Magazine
Verrier. Richard,2001, 1.000 Due Pink Slips at Disney. Employment. 3.000 accept the company's voluntary separation offer  Others will be dismissed to reach a target of 4.000, Los Angeles Times,Newspaper / Magazine
Boucher. Geoff,2004, Comic book stores were a Calif pop culture staple; He shunned pressures of corporate life to build on childhood passions [Bill Liebowitz], Los Angeles Times,Newspaper / Magazine
Munoz. Lorenza,2005, Marvel Told to Pay Stan Lee 10% of Profits From Recent Films; Creator of Spider-Man could be entitled to tens of millions of dollars  The clash continues over merchandising deals, Los Angeles Times,Newspaper / Magazine
Bronson. Kevin,2006, Stretching Beyond Their Niche. Becky Stark and her ''protest songs disguised as love songs.'' and Agent Sparks keeps things raw, Los Angeles Times,Newspaper / Magazine
Bagge. Peter,2007, Partying with the 'Dickster'. A cartoon by P Bagge, Los Angeles Times,Newspaper / Magazine
Chun. Alex,2007, It's for the 'Better'; As Lynn Johnston's comic strip marks its 28th anniversary. it's in for some changes  But then. so is she, Los Angeles Times,Newspaper / Magazine
Boucher. Geoff,2008, Marvel is on a mission; The new studio. with superheroes on its side. seeks to conquer Hollywood  First up. Iron Man, Los Angeles Times,Newspaper / Magazine
Burress. Charles,2009, Animator Hayao Miyazaki moves beyond good vs  evil plots; The famous Japanese director tells an American audience that he deeply mulls the stories behind his popular films. including the upcoming Disney venture. 'Ponyo, Los Angeles Times,Newspaper / Magazine
Chu. Henry,2009, At 80. comic-book hero Tintin is ready for Hollywood; Tintin is beloved in Europe and barely known in America  That poses a double challenge for Steven Spielberg's movie adaptation, Los Angeles Times,Newspaper / Magazine
King. Susan,2009, 'Ponyo' - Hayao Miyazaki's films win praise in the U.S. but don't earn much money  The newest will get a bigger push, Los Angeles Times,Newspaper / Magazine
Pham. Alex,2009, How I Made It. Matt Fraction  A comic book writer's secret identity revealed; The college dropout's dialogue is popping up in Marvel Entertainment's 'Iron Man' and 'X-Men' titles. as well as the Iron Man 2 video game, Los Angeles Times,Newspaper / Magazine
Verrier. Richard,2009, Lighting firm Luxo sues over sale of Luxo Jr  lamp with 'Up' Blu-ray disc; The Norwegian company says the sale of the limited-edition lamps based on the character in a 1986 animated film by Pixar's founder will cause 'devastating damage, Los Angeles Times,Newspaper / Magazine
Barney. Chuck,2009, The unstoppable nerd. 'Dilbert' still going strong after 20 years. thanks to creator Scott Adams' edgy drive, Los Angeles Times,Newspaper / Magazine
Lloyd. Robert,2009, 'Sit Down. Shut Up'. Loser teachers populate Fox's new animated sitcom. which is closer to 'Family Guy' than to 'The Simpsons, Los Angeles Times,Newspaper / Magazine
Ostrom. Mary Anne,2009, The Man Behind the Mouse. Museum at Presidio aims to tell Walt Disney's story, Los Angeles Times,Newspaper / Magazine
McKenna. Kristine,1995, Creep Show. A new film shines disturbing light on the very dark family secrets of cartoonist Robert Crumb, Los Angeles Times,Newspaper / Magazine
Turan. Kenneth,2009, With 'Ponyo.' viewers will find their inner child through a charming fish story; Director Hayao Miyazaki tells the story of a tiny aquatic creature who longs to be human, Los Angeles Times,Newspaper / Magazine
Solomon. Charles,2009, 'Starting Point' gives a rare glimpse of acclaimed animator Hayao Miyazaki. The anthology offers a selection of Miyazaki's thoughts about film. art and contemporary Japanese culture, Los Angeles Times,Newspaper / Magazine
Johnson. Reed,2009, Ojai museum fetes Mad magazine's Sergio Aragons; The cartoonist and co-creator of Groo the Wanderer is honored by his adopted hometown with 'Mad About Sergio' exhibition, Los Angeles Times,Newspaper / Magazine
Verrier. Richard,2008, DreamWorks Animation drawing up new ventures; As DVD sales slow. the studio is launching its franchise characters into TV shows. a Broadway musical and theme park attractions to generate revenue, Los Angeles Times,Newspaper / Magazine
King. Susan,2008, 'Waltz With Bashir' is therapy for Ari Folman; The animated film helps the director and other veterans deal with painful memories of the Lebanon War, Los Angeles Times,Newspaper / Magazine
Verrier. Richard,2008, Gotham Group draws on South Korean talent in animation partnership; The Los Angeles talent management agency expects up to eight films in the public-private financing partnership, Los Angeles Times,Newspaper / Magazine
Tawa. Renee,2000, Beloved 'Peanuts' Creator Is Mourned Worldwide, Los Angeles Times,Newspaper / Magazine
McLellan. Dennis,2008, Steve Gerber. 60; comic-book writer created Howard the Duck [obituary], Los Angeles Times,Newspaper / Magazine
Boucher. Geoff,2007, Comics King. Iconic novelist hopes to draw readers into a more graphic tale [Stephen King's The Dark Tower], Los Angeles Times,Newspaper / Magazine
Verrier. Richard,2009, DreamWorks Animation profit drops 45% in fourth quarter; Revenue from the DVD release of 'Kung Fu Panda' fails to match that of 'Shrek the Third' a year earlier, Los Angeles Times,Newspaper / Magazine
Rotella. Sebastian,2006, Anger Over Cartoons of Muhammad Escalates [Danish Islam cartoons], Los Angeles Times,Newspaper / Magazine
Wallace. Bruce,2007, An American anime film? Michael Arias has done the unheard-of. He's the first non-Japanese director of a major anime film. and his tale of a crumbling city has hit a chord, Los Angeles Times,Newspaper / Magazine
Welkos. Robert W,2007, Soviet propaganda cartoons come to video; The four-DVD set 'Animated Soviet Propaganda' opens the vaults on decades of Cold War humor, Los Angeles Times,Newspaper / Magazine
Horn. John,2009, Laika hopes 'Coraline' shows the stop-motion way; Writer-director Henry Selick and the studio buck the computer-animation trend, Los Angeles Times,Newspaper / Magazine
Rourke. Mary,2008, Gustavo Arriola. 90 created 'Gordo' comic strip [obituary], Los Angeles Times,Newspaper / Magazine
Fleishman. Jeffrey,2006, Rage Over Cartoons Perplexes Denmark; Reaction to drawings of Muhammad forces the nation to examine its self-image of tolerance [Danish Islam cartoons], Los Angeles Times,Newspaper / Magazine
Watanabe. Teresa,2006, Muslim Artist Draws Line on Cartoons. Khali Bendib. an Arab American. says caricatures of the prophet Muhammad should not be protected speech, Los Angeles Times,Newspaper / Magazine
Rotella. Sebastian,2006, French Weekly Prints Prophet Cartoons; Muslims lose a legal bid to block publication, Los Angeles Times,Newspaper / Magazine
Lloyd. Robert,2008, 'George of the Jungle'; Unlike Jay Ward's subversive original. the new version is aimed at a different audience. children, Los Angeles Times,Newspaper / Magazine
Oliver. Myrna,2005, Artist. Illustrator Frank Kelly Freas. 84. Dies, Los Angeles Times,Newspaper / Magazine
Timberg. Scott,2006, Shared perspective. American artist Adrian Tomine talks with Yoshihiro Tatsumi. the ahead-of-his-time Japanese cartoonist who inspired him, Los Angeles Times,Newspaper / Magazine
Hitchens. Christopher,2000, The Draftsman's Contract. Safe Area Gorazde The War in Eastern Bosnia 1992-1995 By Joe Sacco; Fantagraphics. 240 pp, Los Angeles Times,Newspaper / Magazine
Boucher. Geoff,2008, 'The Ten-Cent Plague' by David Hajdu. How comic book creators tested the limits of content in the face of an ever-changing bonfire brigade, Los Angeles Times,Newspaper / Magazine
Cavanaugh. Tim,2007, Hackwork hacked. The 'Kelly' cartoons bring back a golden age of parody [Ward Sutton's 'Kelly' cartoons for The Onion], Los Angeles Times,Newspaper / Magazine
Hicks. Tony,2009, Never too old. Deluge of superhero films gets adults back into reading comics, Los Angeles Times,Newspaper / Magazine
Myers. Randy,2009, 'Watchmen' worth watching, Los Angeles Times,Newspaper / Magazine
Solomon. Charles,2005, Obituaries - Joe Grant. 96; Disney Artist Helped Make Films That Became Classics, Los Angeles Times,Newspaper / Magazine
Carpenter. Susan,2009, 'A Drifting Life' by Yoshihiro Tatsumi. translated from the Japanese by Taro Nettleton. edited. designed and lettered by Adrian Tomine; The story of manga. through the eyes of an artist who has lived its entire history, Los Angeles Times,Newspaper / Magazine
Spurgeon. Tom,2007, More Marvel-ous movies? With its top-tier heroes all spoken for. the comic book icon looks to its bench for box-office hits, Los Angeles Times,Newspaper / Magazine
Maury. Laurel,2005, Oh. so human [Marjane Satrapi. Persepolis], Los Angeles Times,Newspaper / Magazine
Watson. Sasha,2009, 'The Photographer' by Emmanuel Guibert. Didier Lefvre and Frederic Lemercier; Testing the graphic novel format with an engrossing story of a young photographer's journey into Afghanistan with Doctors Without Borders, Los Angeles Times,Newspaper / Magazine
Myers. Randy,2009, Reason to 'Smile'. Teacher passing all tests as writer of critically acclaimed graphic novels [Gene Yang], Los Angeles Times,Newspaper / Magazine
Barrie-Anthony. Steven,2005, The call of 'D'oh!'. Writers become downright animated for 'The Simpsons' guest spots, Los Angeles Times,Newspaper / Magazine
Nelson. Valerie J,2009, Shel Dorf dies at 76; architect behind San Diego's Comic-Con; As a child. Dorf was an avid comic reader and collector, Los Angeles Times,Newspaper / Magazine
Ulin. David L,2006, Strip mine. An Anthology of Graphic Fiction. Cartoons. & True Stories Edited by Ivan Brunetti, Los Angeles Times,Newspaper / Magazine
Neil. Dan,2006, 800 words. Huckleberry TV [Charles Schulz], Los Angeles Times,Newspaper / Magazine
Netburn. Deborah,2005, The Adventures of Fanboy. Television writer by day. comic book author by night [Allan Heinberg], Los Angeles Times,Newspaper / Magazine
Martelle. Scott,2006, A shrink-rapped exhibit. New Yorker cartoonists have a field day with psychiatrists in 'On the Couch', Los Angeles Times,Newspaper / Magazine
Fritz. Ben,2009,"Disney tells details of Marvel Entertainment acquisition in a regulatory filing; Nearly three months of negotiations, which involved intense back-and-forth over price, culminated in the $4-billion deal announced Aug. 31", Los Angeles Times,Newspaper / Magazine
Keller. Julia,2009, Graphic novels; reading. but in a different way; A comic-panel version of Ray Bradbury's 'Fahrenheit 451' is but one particularly choice example of the medium's power, Los Angeles Times,Newspaper / Magazine
Solomon. Charles,2008, Bill Melendez. 'Peanuts' animator and voice of Snoopy dies at 91 In his nearly 70-year career. the animator worked on Disney films including 'Fantasia' and 'Bambi.' and Warner Bros, Los Angeles Times,Newspaper / Magazine
McIntyre. Gina,2009, Shane Acker stretches animation with '9'. The sophisticated story line is rarely found in such a film, Los Angeles Times,Newspaper / Magazine
Chun. Alex,2006, Comic-book duo re-create unlikely story. 9/11; Harvey Comics veterans use pictures to condense the commission's report. aiming for clarity, Los Angeles Times,Newspaper / Magazine
Phillips. Michael / Chicago Tribune,2009, Review. '9'; Shane Acker's expansion of his animated short is impressive and oppressive, Los Angeles Times,Newspaper / Magazine
Rafei. Raed,2008, Lebanon. 'Persepolis' kept from theaters, Los Angeles Times,Newspaper / Magazine
Lozano. Alicia,2009, In 'Battle for Terra.' the humans are the invading aliens, Los Angeles Times,Newspaper / Magazine
Boucher. Geoff,2008, Barry Levine and his Radical plan in Hollywood, Los Angeles Times,Newspaper / Magazine
Castillo. Michelle,2009, Comic Book Store Clerks of America. No, Los Angeles Times,Newspaper / Magazine
Castillo. Michelle,2009, Comic Book Store Clerks of America. No, Los Angeles Times,Newspaper / Magazine
Castillo. Michelle,2009, Comic Book Store Clerks of America. No, Los Angeles Times,Newspaper / Magazine
Castillo. Michelle,2009, Comic Book Store Clerks of America. No, Los Angeles Times,Newspaper / Magazine
Castillo. Michelle,2009, Comic Book Store Clerks of America. No, Los Angeles Times,Newspaper / Magazine
Castillo. Michelle,2009, Comic Book Store Clerks of America. No, Los Angeles Times,Newspaper / Magazine
Castillo. Michelle,2009, Comic Book Store Clerks of America. No, Los Angeles Times,Newspaper / Magazine
Phillips. Jevon,2009, 'Watchmen' countdown. Peter Travers and the effects, Los Angeles Times,Newspaper / Magazine
Castillo. Michelle,2009, Comic Book Store Clerks of America. No, Los Angeles Times,Newspaper / Magazine
Milian. Mark,2008, Trey Parker on a 'South Park' movie sequel, Los Angeles Times,Newspaper / Magazine
Boucher. Geoff,2009, Akiva Goldsman on 'Lobo.' 'Jonah Hex' and the new 'Swamp Thing' [comic book movies], Los Angeles Times,Newspaper / Magazine
Day. Patrick Kevin,2009, A Tinker Bell movie for boys? The makers of 'Lost Treasure' hope so, Los Angeles Times,Newspaper / Magazine
Boucher. Geoff,2009, A 'lost' Mickey Mouse cartoon from 1950s will be screened at D23 Expo, Los Angeles Times,Newspaper / Magazine
Boucher. Geoff,2008, Virgin Comics gives it up. Liquid Comics hopes for a splash, Los Angeles Times,Newspaper / Magazine
Zelas. Kent,2008, ''Luann'' comic strip starts five-week run, Los Angeles Times,Newspaper / Magazine
Gold. Jamie,2008, A vote for the original ''Doonesbury'' [censorship], Los Angeles Times,Newspaper / Magazine
Gold. Jamie and Kent Zelas,2009, Comic pages try out ''Stone Soup'', Los Angeles Times,Newspaper / Magazine
Gold. Jamie,2009, Weather news. Sunday comics changing July 5, Los Angeles Times,Newspaper / Magazine
Goldstein. Patrick,2009, Jeffrey Katzenberg in 3-D. Hollywood is rolling its eyes [DreamWorks Animation], Los Angeles Times,Newspaper / Magazine
Horn. John,2009, Telluride Film Festival. An inside look at Disney animation, Los Angeles Times,Newspaper / Magazine
Gaita. Paul,2009, '9' director Acker among student Oscar winner notables, Los Angeles Times,Newspaper / Magazine
Paterson. Alan Stuart,1973, Bull Pen. The [Animal gag cartoons by New Zealand editorial cartoonist Foreword by GE  Minhinnick. New Zealand Herald cartoonist], Los Angeles. Australasian American Services,
Lee. Stan,1994, Best Of The World's Worst. The [Odd news stories packaged by Rhino Records], Los Angeles. General Publishing Group,
Lowther. George,1979, Superman [Reprint of novel, Los Angeles. Kassel Books,
Knight. Keith,2008, 2008 Keith Knight Little Vics Mega-Mix Monthly Calendar. The, Los Angeles. Keith Knight,
Schwartz. Ray,1995, 100 Best Comics Of The Century. The, Los Angeles. Metropolis Publishing,
Schwartz. Ray,1995, The 100 Best Comics of the Century, Los Angeles. Metropolis Publishing,
Marvel Comics,1981, Captain America Mad Libs, Los Angeles. Price Stern Sloan,
Seymour. Peter & Borje Svensson,1982, Naughty Nineties. A Pop-Up Book For Adults. The, Los Angeles. Price Stern Sloan,
Waring. Barbara & Bud Sagendorf (ill),1986, Popeye's Big Surprise [Wonder Book series], Los Angeles. Price Stern Sloan,
Price. Roger,1979, Droodles ['A Droodle is a drawing that doesn't make any sense until you know the correct title, Los Angeles. Price Stern Sloan,
SAFECO Title Insurance Co,1982, Pink Panther Fun Book. The, Los Angeles. SAFECO,
Kamijyo. Akimine,2003, Samurai Deeper Kyo 1 [Manga about a dual-personality killer], Los Angeles. Tokyopop,
Unknown,2000, Ed Nofziger. Cartoonist. Illustrator. UPA storyman. passes away [animation obituary], Los Angels Times (November 11),Newspaper / Magazine
Abramowitz. Rachel,2006, New India ink. To Virgin Comics. the nation is both vast market and creative well, Los Angles Times (January 11),Newspaper / Magazine
MacGregor. Hilary E,1996, Japanese are crazy for comics, Los Angles Times (January 30). A1. 4,Newspaper / Magazine
Mozzocco. J,2006, Marvel Comics Go to Hell. Satan. the Devil's Daughter and other beloved characters, Los Vegas Weekly (October 26),
Duncan. Ralph Randolph,1985, Panel Analysis. A Critical Method for Analyzing the Rhetoric of Comic Book Form [dissertation], Louisiana State Univeristy,University
Duncan. Ralph Randolph,1990, Panel analysis. A critical method for analyzing the rhetoric of comic book form [PhD thesis], Louisiana State University and Agricultural & Mechanical College,University
Barbazon. Angelle,2008, University selects graphic novel for summer reading; 'Persepolis' portrays life in 1970s Iran, Louisiana State University's Daily Reveille (March 28),
Unknown,2007, The C-J's new strip? It's You picked 'Pearls', Louisville Courier-Journal (February 26),
Unknown,2006, Around Indiana-Van Buren. First of 5 Garfield statues unveiled outside library, Louisville. KY Courier-Journal (August 13),
Alger. Edwin,1930,Ben Webster at Wilderness Lake [reprints from Ben Webster's Career strip], Louisville. Ky. Edwin Alger,
Alger. Edwin,1930,Ben Webster in Old Mexico [reprints from Ben Webster's Career strip], Louisville. Ky. Edwin Alger,
Alger. Edwin,1930,Ben Webster's Career [reprints from Ben Webster's Career strip], Louisville. Ky. Edwin Alger,
Short. Robert L,1990, Short Meditations On The Bible And Peanuts, Louisville. Westminster / John Knox Press,
Tilleuil. J,1984, La bande dessinee l'universit et ailleurs [in French; includes bibliography], Louvain-la Neuve. Travaux de la Faculte de Philosophie et Lettres de L'universite Catholique de Louvain,
Tilleuil. J,1987, Pour analyser la bande dessinE9e [in French], Louvain-la-Neuve. Academia,
Taylor. David,2006, RUSH Chat [manga anthology interview], Love Manga (September 4),
Zoest. Aart van and Julian Ross,1994, A master of word and image. Marten Toonder and the Bumble comic strips, Low Countries. Arts and Society in Flanders and the Netherlands (1994/1995).168-174,
Shaughnessey. Dennis,2008, If it makes people laugh  I don't mind being the butt of the joke' [Bob Conroy. Pink Slip comic strip], Lowell Sun (February 18),
Unknown,2007, 107 Year-Old Political Cartoonist Celebrates Birthday [Boris Efimov. Russia], Lubavitch.com (October 17),
Weaver. Robyn M,2000, Cartoonists [children's book profiles Mort Walker. Chuck Jones. Charles Schulz. Garry Trudeau. Cathy Guisewite. Matt Groening. and Scott Adams], Lucent Books,
Rhode. Michael (ed),2007, Interplanetary Journal of Comic Art. A Festschrift in Honor of John Lent, Lulu.com Purchasable,
Crane. Roy. Gordon Campbell and Jim Ivey,1974, Roy Crane's Wash Tubbs. The First Adventure Comic Strip [introduction by Charles Schulz], Luna Press,
Peyton. Mike,1977, Hurricane Zoe and other sailing [British], Lymington. Nautical Publishing Co,
Hotchner. John M,2000, 'Mad's' Alf has tie-in to Franklin Roosevelt, Lynn's Stamp News (June 19). 6,
Blum. A,1918, La Caricature Politique en France sous la Seconde Republique, Lyon,
Masson. P,1985, Lire la bande dessinE9e [in French], Lyon. PUL,
Raney. Vanessa,2006, Where Ordinary Activities Lead to War. Street Politics in Seth Tobocmans War in the Neighborhood, M/C Journal 9 (3 July),
Frahm. Ole,2006, Genealogie des HolocauSt. Art Spiegelman's MAUS - A Survivor's Tale, M?nchen. Fink,
Segar. E.C,1917, Charlie Chaplin #317 - Up in the Air, MA  Donohue & Co,
Segar. E.C,1917, Charlie Chaplin #318 - In the Army, MA  Donohue & Co,
Parker. Jeff,2009, Marvel Hotline. Exiles #1, Maarvel.com (April 6),
Searle. Ronald,1953, Female Approach [Intro by Max Beerbohm], MacDonald,
Unknown,2003, Comic Books on Christ Confiscated [religion], Macedonian Press Agency [Greece] (26 February),
Stein. David Lewis,1962, How to win the cold war. send in Little Orphan Annie [reality in adventure comic strips], Maclean's (February 10),
Kane. Bob,1966, Our own pop-culture feature! Batman and Robin foil a diabolical scheme aimed at destroying Expo 6 [comic strip in Canada], Maclean's (March 19),
Unknown,1964, A fond portrait of those wild wartime comics [in Canada], Maclean's (September 19). 28-30,
Johnson. Brian D,1988, Comic-book heroism [Comics Documentary], Maclean's 101(Oct 10).60,
McLaughlin. Ann,1991, AIDS in the comics, Maclean's 104(Dec 9).46,
Wilson-Smith. Anthony,1995, Parizeau in hot water. Did he compare voters to trapped lobsters [editorial cartoon], Maclean's 108(30; Jul 24).16,
Unknown,1996, A comic book with spiritual powers, Maclean's 109(37; Sep 9).39,
Jennings. Nicholas,1983, A homegrown superhero [Alpha Flight], Maclean's 96(Jun 20).43,
Hart. Matthew,1985, A cause for the comics, Maclean's 98(Nov 25).6,
Seth,2006, An experts' guide to summer fun. Reading Culture vultures share their picks, Macleans ca,
Smith. Andrew A,2009, The graphic novel origins of 'Whiteout', Macomb Daily (September 11),
Taylor. Mike,1996, Soul Improvement [religious cartoons], Macon Hill. GA. Peake Road Publisher,
Unknown,2005, Late cartoonist an inspiration to young artist [Bill Mauldin], Macon Telegraph (October 7),
Unknown,1999, [Tony Harris profile piece], Macon. GA Telegraph (April 9),
Unknown,1996, Reflux. Issue 2. The Threshold [review of CD-ROM comic book], MacUser 12(12; Dec).90,
Kurtzman. Harvey,1959, The Comedian [comic strip], Madison Avenue Magazine,
Kurtzman. Harvey,1959, On Camera, Madison Avenue Magazine,
Kurtzman. Harvey,1959, Security [comic strip], Madison Avenue Magazine,
Kurtzman. Harvey,1959, Story Without End [comic strip], Madison Avenue Magazine,
Kurtzman. Harvey,1959, Courage [comic strip], Madison Avenue Magazine,
Kurtzman. Harvey,1959, On Camera [comic strip], Madison Avenue Magazine,
Kurtzman. Harvey,1959, Videoland, Madison Avenue Magazine,
Kurtzman. Harvey,1959, March of Science, Madison Avenue Magazine,
Kurtzman. Harvey,1959, Videoland, Madison Avenue Magazine,
Square. Leah,2009, Chamber to hold awards banquet [Marshall Ramsey], Madison County Herald (January 17),
Madayag. Katrin,2007, New comic book hits street with a bash [Stephen King], Madison. WI Capital Times (February 5),
Cook. Amelia,2008, Badger returns to Madison in comic-book relaunch; Superhero once again saves city from cow tippers and criminals, Madison. WI Isthmus Daily Page (March 3),
Cook. Amelia,2008, Badger creator Mike Baron talks comics. Madison writer discusses locally set series relaunched last year, Madison. WI Isthmus Daily Page (March 4),
Flinn. Tom and Milton Griepp,2003, ICv2 Retailers Guide to Graphic Novels, Madison. WI. GCO,
Nyberg. Amy Kiste,1994, Seal of approval. The origins and history of the Comics Code [dissertation], Madison. WI. University of Wisconsin,University
Gasca. Luis and RomE1n Gubern,1988, El Discurso del cF3mic [in Spanish], Madrid (Spain). CE1tedra,
Cuadrado. Jesus,1997, Diccionario de uso de la Historieta espanola. 1873-1996 [Spain], Madrid. Compania Literaria,
Lindo. Alfonso,1975, La aventura del comic [in Spanish], Madrid. Doncel,
Azpiri. Nacho,1989, Mot y el castillo maldito [graphic novel], Madrid. Ediciones El PaEDs/Altea,
Ramirez. Juan Antonio,1975, El 'comic' femenino en EspaF1a. arte sub y abulacion [in Spanish], Madrid. EDICUSA,
Unknown,1998, Diccionario Basico del Comic [Spanish comics], Madrid. Edit Acento,
Unknown,1998, Diccionario Basico del Comic [Spanish comics], Madrid. Edit Acento,
Acevedo. Juan,1992, Para hacer historietas [Spanish comics], Madrid. Edit Popular,
Acevedo. Juan,1992, Para hacer historietas [Spanish comics], Madrid. Edit Popular,
Cuadrado. Jesus,2001, Atlas espanol de la Cultura Popular. De la Historieta y u uso. 1873-200[Spain], Madrid. Sinsentido,
Ruiz Collantes. Francisco Javier and Teresa Velazquez Garcia-Talavera,1985, Analisis discusivo de la serie de Peridis sobre el viaje de Felipe Gonzalez a Marruecos [politics in comics; in Spanish] In Teoria Semiotica. Lenguajes y Textos Hispanicos (Garrido Gallardo. M, Madrid. Spain. Consejo Superior de Investigaciones Cientificas,
DEDaz Maroto. Carlos and Luis F,1999, Batman. de Bob Kane a Joel Schumacher  [Super-heroes including movies; in Spanish], Madrid. Spain. Nuer,
Liz Lizar. J,1976, El comic erotico. historia del cF3mic er=F3tico [in Spanish], Madrid. Tropos,
Unknown,1994, Big news from Big Comics; all the latest releases from the major players, Magazine & Bookseller 50(6; Sep).31,
Unknown,1995, Comic Strip [comic book/movie tie-ins], Magazine & Bookseller 51(4; Jun).18,
Unknown,1995, Coming Attractions [Conde Nast. Archie Comics], Magazine & Bookseller 51(4; Jun).24,
Unknown,1995, Back to Basics. Superhero-Style, Magazine & Bookseller 51(4; June).15,
Unknown,1993, Courting the comic book crowd, Magazine Watch Folio,
Howard. RJ,1995, Activation of area V5 by visual perception of motion demonstrated with echoplanar MR imaging [by viewing animation], Magnetic Resonance Imaging 13 (6). 907-9,
Berger. Guy,2008, Dr Zapiro dispenses his muti, Mail and Guardian (April 2),
Bouzaglou. Hila,2006, New comic book illustrates deaf rights [and AIDS in Africa], Mail and Guardian (August 17),
Hattenstone. Simon,2009, Confessions of Miss Mischief [Marjane Satrapi], Mail and Guardian (June 7),
van Noort. Elvira,2005, 'Disbelief' as Zapiro wins European prize, Mail and Guardian Online (October 7),
Utz. Gene,1996, The Shadow's Resurrection [auction of Walter Gibson's estate], Maine Antique Digest (July),
Kamiyama. Masuo,2007, Manga heroines 'Mountain Woman' and 'Wall Woman' help boob tube live up to its name, Mainichi Daily News (August 4),
Associated Press,2005, Comic book on Indian astronaut in Columbia disaster a big seller in India, Mainichi Daily News (October 17),
Unknown,2005, Kodansha pulls comics from shelves over image theft [manga plagiarism], Mainichi Daily News (October 19),
Unknown,2006, Comiket founder Yoshihiro Yonezawa dies at 53 [manga fan], Mainichi Daily News (October 2),
Unknown,2006, Popular cartoonist Rin Inumaru jumps to her death from roof of building, Mainichi Daily News (September 11),
Unknown,2006, Manga cafe operators face charges for letting schoolboy violate curfew, Mainichi Daily News (September 20),
Unknown,2006, Publisher of cartoonist arrested for possession of knife will not withdraw his books [Ken Obata], Mainichi Daily News (September 8),
Unknown,2006, 'Death Note' cartoonist arrested for possessing knife [Takeshi Obata], Mainichi Dainly News (September 7),
Hune-Brown. Nicholas,2005, Graphic Nostalgia. Cartoonists Chris Ware. Seth and Charles Burns aren't lost in the past. but revelling in it, Maisonneuve (November 10),
Oba. Tokiko,2007, Nippon cool. An astonishing anime that's gloriously Japanese. even in the hands of an American director [[Tekkonkinkreet. anime adaptation of Taiyo Matsumoto's manga 'Black and White'], Malaysia Star (January 21),
Mark. Cristoph,2009, A master's touch [Naoki Urasawa manga. Billy Bat], Malaysia Star (March 22),
Begum. Mumtaj,2009, Watchmen on the silver screen, Malaysia Star (March 5),
Wong. Pauline,2007, A curious mix [Zombie-loan by Peach-pit], Malaysia Star (November 25),
Sensei. Kitty,2006, Manga cafes, Malaysia Star Mag (October 22),
Covert. Colin,2008, Daughter of the revolution tells her animated tale [Marjane Satrapi. ''Persepolis''], Malaysia Star Online (January 18),
Unknown,2009, Japanese director Miyazaki seeks breakout US film [Ponyo], Malaysian Insider (August 13),
Associated Press,2009, Asean unveils official anthem and cartoon, Malaysian Insider (February 28),
Unknown,1996, Editor's note. There's a lot to be learned from the writing on the walls. especially if your employees are considerate enough to pin up telling cartoons, Management Review 85(2).1,
Marinho Alves. Patricia,1996, Historia em Quadrinhos Coisa Siria [Brazil], Manaus. Editora de Universidade do Amazonas,University
Barker. Martin,1989, Comics. Ideology. Power. and the Critics, Manchester. Manchester University Press,University
Smith. Andrew,2002, Hawkman Swoops Again, Manchester. NH. Union Leader (March 4),
Alexander. David,1998, Richard Newton and English Caricature in the 1790s, Manchester. University of Manchester Press,University
Doub. David,2009, Interview with Amy Reeder Hadley. Artist of Vertigo's Madame Xanadu, Manga Punk ( April 2),
Brigid,2007, Creator Q&A. Bettina Kurkoski, MangaBlog (April 24),
Schodt. Frederik,1995, Gaijin in manga, Mangajin (43; March). 14-19. 66,
